name,Sex,Team,Sport,Medal,Medal_Count
George Louis Eyser,M,United States,Gymnastics,Gold,3
"Gergely ""Gerg"" Kiss",M,Hungary,Water Polo,Gold,3
Giancarlo Cornaggia-Medici Peterbelli,M,Italy,Fencing,Gold,3
Gillian Mary Apps,F,Canada,Ice Hockey,Gold,3
Gillis Emanuel Grafstrm,M,Sweden,Figure Skating,Gold,3
Giulio Gaudini,M,Italy,Fencing,Gold,3
Glenn Ashby Davis,M,United States,Athletics,Gold,3
Grant George Hackett,M,Australia,Swimming,Gold,3
Gunda Niemann-Stirnemann-Kleemann,F,Germany,Speed Skating,Gold,3
Gustaf Vilhelm Carlberg,M,Sweden,Shooting,Gold,3
"Gwendolyn Lenna ""Gwen"" Torrence (-Waller, -Smith)",F,United States,Athletics,Gold,3
Gyrgy Krpti,M,Hungary,Water Polo,Gold,3
Halil Mutlu,M,Turkey,Weightlifting,Gold,3
Halvard Hanevold,M,Norway,Biathlon,Gold,3
Harald Natvig,M,Norway,Shooting,Gold,3
"Harry Livingston Hillman, Jr.",M,United States,Athletics,Gold,3
Heather Ann OReilly (-Werry),F,United States,Football,Gold,3
Heather Blaine Mitts (-Feeley),F,United States,Football,Gold,3
Helene Emma Madison,F,United States,Swimming,Gold,3
"Hendrika Wilhelmina ""Rie"" Mastenbroek (-Kuiper, -de Wit)",F,Netherlands,Swimming,Gold,3
Henri Jhan ric Joseph Marie de Buhan,M,France,Fencing,Gold,3
Hermann Otto Ludwig Weingrtner,M,Germany,Gymnastics,Gold,3
Hjalmar Johan Andersen,M,Norway,Speed Skating,Gold,3
Ian Lowell Crocker,M,United States,Swimming,Gold,3
Ingrid Gulbin-Engel-Krmer,F,Germany,Diving,Gold,3
Irena Szewiska-Kirszenstein,F,Poland,Athletics,Gold,3
"Irina Konstantinovna Rodnina (-Zaytseva, -Minkovskaya)",F,Soviet Union-1,Figure Skating,Gold,3
Ivar Valentin Johansson,M,Sweden,Wrestling,Gold,3
Jack Beresford,M,Great Britain,Rowing,Gold,3
"Jacqueline ""Jackie"" Joyner-Kersee",F,United States,Athletics,Gold,3
James Bruce Tomkins,M,Australia,Rowing,Gold,3
"James Paul ""Jim"" Montgomery",M,United States,Swimming,Gold,3
"James Price ""Jimmy"" McLane, Jr.",M,United States,Swimming,Gold,3
Jan Margo Henne (-Hawkins),F,United States,Swimming,Gold,3
Jean-Claude Killy,M,France,Alpine Skiing,Gold,3
"Jeffrey Norman ""Jeff"" Rouse",M,United States,Swimming,Gold,3
Jennifer Lori Botterill,F,Canada,Ice Hockey,Gold,3
Jens Fiedler,M,Germany,Cycling,Gold,3
