,Team,Year,Medal,Medal_Count
845,Czech Republic,2000,Silver,3
846,Czech Republic,2002,Gold,1
847,Czech Republic,2002,Silver,2
848,Czech Republic,2004,Bronze,4
849,Czech Republic,2004,Gold,1
850,Czech Republic,2004,Silver,6
851,Czech Republic,2006,Bronze,24
852,Czech Republic,2006,Gold,1
853,Czech Republic,2006,Silver,2
854,Czech Republic,2008,Gold,3
855,Czech Republic,2008,Silver,4
856,Czech Republic,2010,Bronze,7
857,Czech Republic,2010,Gold,2
858,Czech Republic,2012,Bronze,6
859,Czech Republic,2012,Gold,4
860,Czech Republic,2012,Silver,2
861,Czech Republic,2014,Bronze,2
862,Czech Republic,2014,Gold,2
863,Czech Republic,2014,Silver,7
864,Czech Republic,2016,Bronze,10
865,Czech Republic,2016,Gold,1
866,Czech Republic,2016,Silver,2
867,Czech Republic-1,1996,Silver,2
868,Czech Republic-1,2000,Bronze,2
869,Czech Republic-1,2004,Bronze,2
870,Czech Republic-1,2012,Silver,2
871,Czech Republic-1,2016,Bronze,2
872,Czechoslovakia,1920,Bronze,10
873,Czechoslovakia,1924,Bronze,5
874,Czechoslovakia,1924,Gold,1
875,Czechoslovakia,1924,Silver,4
876,Czechoslovakia,1928,Bronze,3
877,Czechoslovakia,1928,Gold,2
878,Czechoslovakia,1928,Silver,12
879,Czechoslovakia,1932,Bronze,2
880,Czechoslovakia,1932,Gold,1
881,Czechoslovakia,1932,Silver,3
882,Czechoslovakia,1936,Bronze,1
883,Czechoslovakia,1936,Gold,5
884,Czechoslovakia,1936,Silver,12
885,Czechoslovakia,1948,Bronze,3
886,Czechoslovakia,1948,Gold,14
887,Czechoslovakia,1948,Silver,20
888,Czechoslovakia,1952,Bronze,10
889,Czechoslovakia,1952,Gold,11
890,Czechoslovakia,1952,Silver,4
891,Czechoslovakia,1956,Bronze,1
892,Czechoslovakia,1956,Gold,1
893,Czechoslovakia,1956,Silver,5
894,Czechoslovakia,1960,Bronze,11
895,Czechoslovakia,1960,Gold,4
896,Czechoslovakia,1960,Silver,8
897,Czechoslovakia,1964,Bronze,29
898,Czechoslovakia,1964,Gold,5
899,Czechoslovakia,1964,Silver,37
900,Czechoslovakia,1968,Bronze,16
901,Czechoslovakia,1968,Gold,8
902,Czechoslovakia,1968,Silver,26
903,Czechoslovakia,1972,Bronze,25
904,Czechoslovakia,1972,Gold,3
905,Czechoslovakia,1972,Silver,21
906,Czechoslovakia,1976,Bronze,9
907,Czechoslovakia,1976,Gold,2
908,Czechoslovakia,1976,Silver,23
909,Czechoslovakia,1980,Bronze,17
910,Czechoslovakia,1980,Gold,17
911,Czechoslovakia,1980,Silver,18
912,Czechoslovakia,1984,Bronze,4
913,Czechoslovakia,1984,Silver,24
914,Czechoslovakia,1988,Bronze,8
915,Czechoslovakia,1988,Gold,3
916,Czechoslovakia,1988,Silver,5
917,Czechoslovakia,1992,Bronze,28
918,Czechoslovakia,1992,Gold,4
919,Czechoslovakia,1992,Silver,1
920,Czechoslovakia-1,1992,Silver,2
921,Denmark,1896,Bronze,3
922,Denmark,1896,Gold,1
923,Denmark,1896,Silver,2
924,Denmark,1900,Bronze,2
925,Denmark,1900,Gold,1
926,Denmark,1900,Silver,3
927,Denmark,1906,Bronze,1
928,Denmark,1906,Gold,14
929,Denmark,1906,Silver,19
930,Denmark,1908,Bronze,3
931,Denmark,1908,Silver,14
932,Denmark,1912,Bronze,28
933,Denmark,1912,Silver,46
934,Denmark,1920,Bronze,1
935,Denmark,1920,Gold,26
936,Denmark,1920,Silver,44
937,Denmark,1924,Bronze,3
938,Denmark,1924,Gold,2
939,Denmark,1924,Silver,6
940,Denmark,1928,Bronze,4
941,Denmark,1928,Gold,6
942,Denmark,1928,Silver,1
943,Denmark,1932,Bronze,4
944,Denmark,1932,Silver,7
945,Denmark,1936,Bronze,3
946,Denmark,1936,Silver,3
947,Denmark,1948,Bronze,24
948,Denmark,1948,Gold,7
949,Denmark,1948,Silver,17
950,Denmark,1952,Bronze,5
951,Denmark,1952,Gold,3
952,Denmark,1952,Silver,1
953,Denmark,1956,Bronze,1
954,Denmark,1956,Gold,1
955,Denmark,1956,Silver,1
956,Denmark,1960,Bronze,4
957,Denmark,1960,Gold,2
958,Denmark,1960,Silver,12
959,Denmark,1964,Bronze,4
960,Denmark,1964,Gold,4
961,Denmark,1964,Silver,1
962,Denmark,1968,Bronze,6
963,Denmark,1968,Gold,5
964,Denmark,1968,Silver,6
965,Denmark,1972,Gold,1
966,Denmark,1976,Bronze,5
967,Denmark,1976,Gold,3
968,Denmark,1980,Bronze,2
969,Denmark,1980,Gold,4
970,Denmark,1980,Silver,2
971,Denmark,1984,Bronze,10
972,Denmark,1984,Silver,3
973,Denmark,1988,Bronze,3
974,Denmark,1988,Gold,3
975,Denmark,1988,Silver,1
976,Denmark,1992,Bronze,9
977,Denmark,1992,Gold,3
978,Denmark,1992,Silver,2
979,Denmark,1996,Bronze,1
980,Denmark,1996,Gold,21
981,Denmark,1996,Silver,1
982,Denmark,1998,Silver,5
983,Denmark,2000,Bronze,4
984,Denmark,2000,Gold,18
985,Denmark,2000,Silver,3
986,Denmark,2004,Bronze,7
987,Denmark,2004,Gold,19
988,Denmark,2004,Silver,1
989,Denmark,2008,Bronze,3
990,Denmark,2008,Gold,6
991,Denmark,2008,Silver,7
992,Denmark,2012,Bronze,6
993,Denmark,2012,Gold,3
994,Denmark,2012,Silver,5
995,Denmark,2016,Bronze,16
996,Denmark,2016,Gold,15
997,Denmark,2016,Silver,10
998,Denmark-1,2012,Bronze,2
999,Denmark-2,2004,Bronze,2
1000,Denmark/Sweden,1900,Gold,6
1001,Deutscher Schwimm Verband Berlin,1900,Gold,4
1002,Devon and Somerset Wanderers,1900,Gold,12
1003,Digby,2008,Bronze,1
1004,Djibouti,1988,Bronze,1
1005,Djinn,1948,Silver,5
1006,Dominican Republic,1984,Bronze,1
1007,Dominican Republic,2004,Gold,1
1008,Dominican Republic,2008,Gold,1
1009,Dominican Republic,2008,Silver,1
1010,Dominican Republic,2012,Gold,1
1011,Dominican Republic,2012,Silver,1
1012,Dominican Republic,2016,Bronze,1
1013,Don Schufro,2008,Bronze,1
1014,Dormy-1,1908,Gold,3
1015,East Germany,1968,Bronze,21
1016,East Germany,1968,Gold,13
1017,East Germany,1968,Silver,22
1018,East Germany,1972,Bronze,65
1019,East Germany,1972,Gold,31
1020,East Germany,1972,Silver,67
1021,East Germany,1976,Bronze,54
1022,East Germany,1976,Gold,106
1023,East Germany,1976,Silver,55
1024,East Germany,1980,Bronze,65
1025,East Germany,1980,Gold,125
1026,East Germany,1980,Silver,97
1027,East Germany,1984,Bronze,5
1028,East Germany,1984,Gold,7
1029,East Germany,1984,Silver,7
1030,East Germany,1988,Bronze,53
1031,East Germany,1988,Gold,87
1032,East Germany,1988,Silver,61
1033,East Germany-1,1968,Gold,2
1034,East Germany-1,1972,Bronze,2
1035,East Germany-1,1972,Gold,4
1036,East Germany-1,1976,Gold,6
1037,East Germany-1,1976,Silver,2
1038,East Germany-1,1980,Bronze,4
1039,East Germany-1,1980,Gold,6
1040,East Germany-1,1984,Bronze,2
1041,East Germany-1,1984,Gold,4
1042,East Germany-1,1984,Silver,2
1043,East Germany-1,1988,Gold,2
1044,East Germany-1,1988,Silver,6
1045,East Germany-2,1972,Bronze,2
1046,East Germany-2,1976,Bronze,2
1047,East Germany-2,1976,Gold,2
1048,East Germany-2,1980,Bronze,4
1049,East Germany-2,1980,Silver,2
1050,East Germany-2,1984,Gold,2
1051,East Germany-2,1984,Silver,4
1052,East Germany-2,1988,Bronze,2
1053,East Germany-2,1988,Silver,2
1054,Ecuador,1996,Gold,1
1055,Ecuador,2008,Silver,1
1056,Edelweiss II-1,1920,Gold,3
1057,Egypt,1928,Bronze,1
1058,Egypt,1928,Gold,2
1059,Egypt,1928,Silver,1
1060,Egypt,1936,Bronze,2
1061,Egypt,1936,Gold,2
1062,Egypt,1936,Silver,1
1063,Egypt,1948,Bronze,1
1064,Egypt,1948,Gold,2
1065,Egypt,1948,Silver,2
1066,Egypt,1952,Bronze,1
1067,Egypt,1984,Silver,1
1068,Egypt,2004,Bronze,3
1069,Egypt,2004,Gold,1
1070,Egypt,2004,Silver,1
1071,Egypt,2008,Bronze,1
1072,Egypt,2012,Silver,2
1073,Egypt,2016,Bronze,3
1074,Eleda,1920,Gold,7
1075,Elisabeth V,1924,Gold,3
1076,Elisabeth X,1952,Silver,5
1077,Elsie,1920,Silver,4
1078,Elvis Va,2008,Gold,1
1079,Emily,1924,Silver,5
1080,Encore,1952,Silver,3
1081,England,1912,Silver,1
1082,England-1,1908,Gold,11
1083,England-1,1912,Silver,12
1084,Eritrea,2004,Bronze,1
1085,Erna Signe,1912,Silver,10
1086,Espadarte,1952,Bronze,2
1087,Esterel-1,1900,Gold,2
1088,Estonia,1920,Gold,1
1089,Estonia,1920,Silver,2
1090,Estonia,1924,Bronze,4
1091,Estonia,1924,Gold,1
1092,Estonia,1924,Silver,1
1093,Estonia,1928,Bronze,1
1094,Estonia,1928,Gold,2
1095,Estonia,1928,Silver,1
1096,Estonia,1936,Bronze,3
1097,Estonia,1936,Gold,2
1098,Estonia,1936,Silver,2
1099,Estonia,1992,Bronze,2
1100,Estonia,1992,Gold,1
1101,Estonia,2000,Bronze,2
1102,Estonia,2000,Gold,1
1103,Estonia,2002,Bronze,1
1104,Estonia,2002,Gold,1
1105,Estonia,2002,Silver,1
1106,Estonia,2004,Bronze,2
1107,Estonia,2004,Silver,1
1108,Estonia,2006,Gold,3
1109,Estonia,2008,Gold,1
1110,Estonia,2008,Silver,2
1111,Estonia,2010,Silver,1
1112,Estonia,2012,Bronze,1
1113,Estonia,2012,Silver,1
1114,Estonia,2016,Bronze,4
1115,Ethiopia,1960,Gold,1
1116,Ethiopia,1964,Gold,1
1117,Ethiopia,1968,Gold,1
1118,Ethiopia,1968,Silver,1
1119,Ethiopia,1972,Bronze,2
1120,Ethiopia,1980,Bronze,2
1121,Ethiopia,1980,Gold,2
1122,Ethiopia,1992,Bronze,2
1123,Ethiopia,1992,Gold,1
1124,Ethiopia,1996,Bronze,1
1125,Ethiopia,1996,Gold,2
1126,Ethiopia,2000,Bronze,3
1127,Ethiopia,2000,Gold,4
1128,Ethiopia,2000,Silver,1
1129,Ethiopia,2004,Bronze,2
1130,Ethiopia,2004,Gold,2
1131,Ethiopia,2004,Silver,3
1132,Ethiopia,2008,Bronze,2
1133,Ethiopia,2008,Gold,4
1134,Ethiopia,2008,Silver,1
1135,Ethiopia,2012,Bronze,3
1136,Ethiopia,2012,Gold,3
1137,Ethiopia,2012,Silver,1
1138,Ethiopia,2016,Bronze,5
1139,Ethiopia,2016,Gold,1
1140,Ethiopia,2016,Silver,2
1141,Ethnikos Gymnastikos Syllogos,1896,Bronze,2
1142,Falcon IV,1956,Silver,2
1143,Fantlet-7,1900,Gold,1
1144,Favorite Hammonia-3,1900,Bronze,6
1145,Favorite-1,1900,Silver,8
1146,Femur-1,1900,Gold,1
1147,Fiji,2016,Gold,13
1148,Finland,1906,Bronze,1
1149,Finland,1906,Gold,2
1150,Finland,1906,Silver,1
1151,Finland,1908,Bronze,28
1152,Finland,1908,Gold,1
1153,Finland,1908,Silver,1
1154,Finland,1912,Bronze,10
1155,Finland,1912,Gold,9
1156,Finland,1912,Silver,33
1157,Finland,1920,Bronze,17
1158,Finland,1920,Gold,21
1159,Finland,1920,Silver,14
1160,Finland,1924,Bronze,18
1161,Finland,1924,Gold,28
1162,Finland,1924,Silver,21
1163,Finland,1928,Bronze,10
1164,Finland,1928,Gold,10
1165,Finland,1928,Silver,9
1166,Finland,1932,Bronze,17
1167,Finland,1932,Gold,6
1168,Finland,1932,Silver,9
1169,Finland,1936,Bronze,16
1170,Finland,1936,Gold,12
1171,Finland,1936,Silver,8
1172,Finland,1948,Bronze,10
1173,Finland,1948,Gold,18
1174,Finland,1948,Silver,14
1175,Finland,1952,Bronze,26
1176,Finland,1952,Gold,14
1177,Finland,1952,Silver,7
1178,Finland,1956,Bronze,23
1179,Finland,1956,Gold,8
1180,Finland,1956,Silver,7
1181,Finland,1960,Bronze,9
1182,Finland,1960,Gold,6
1183,Finland,1960,Silver,4
1184,Finland,1964,Bronze,7
1185,Finland,1964,Gold,6
1186,Finland,1964,Silver,7
1187,Finland,1968,Bronze,6
1188,Finland,1968,Gold,2
1189,Finland,1968,Silver,4
1190,Finland,1972,Bronze,7
1191,Finland,1972,Gold,3
1192,Finland,1972,Silver,10
1193,Finland,1976,Bronze,1
1194,Finland,1976,Gold,9
1195,Finland,1976,Silver,12
1196,Finland,1980,Bronze,11
1197,Finland,1980,Gold,4
1198,Finland,1980,Silver,6
1199,Finland,1984,Bronze,18
1200,Finland,1984,Gold,8
1201,Finland,1984,Silver,5
1202,Finland,1988,Bronze,7
1203,Finland,1988,Gold,8
1204,Finland,1988,Silver,23
1205,Finland,1992,Bronze,8
1206,Finland,1992,Gold,7
1207,Finland,1992,Silver,5
1208,Finland,1994,Bronze,29
1209,Finland,1994,Silver,1
1210,Finland,1996,Bronze,1
1211,Finland,1996,Gold,1
1212,Finland,1996,Silver,2
1213,Finland,1998,Bronze,49
1214,Finland,1998,Gold,2
1215,Finland,1998,Silver,7
1216,Finland,2000,Bronze,1
1217,Finland,2000,Gold,3
1218,Finland,2000,Silver,1
1219,Finland,2002,Bronze,1
1220,Finland,2002,Gold,7
1221,Finland,2002,Silver,5
1222,Finland,2004,Silver,2
1223,Finland,2006,Bronze,7
1224,Finland,2006,Silver,34
1225,Finland,2008,Bronze,2
1226,Finland,2008,Gold,1
1227,Finland,2008,Silver,2
1228,Finland,2010,Bronze,46
1229,Finland,2010,Silver,1
1230,Finland,2012,Bronze,4
1231,Finland,2012,Silver,1
1232,Finland,2014,Bronze,24
1233,Finland,2014,Gold,2
1234,Finland,2014,Silver,7
1235,Finland,2016,Bronze,1
1236,Formosa,1900,Bronze,1
1237,Fornebo,1920,Silver,4
1238,Foxhunters Hurlingham,1900,Gold,5
1239,France,1896,Bronze,2
1240,France,1896,Gold,5
1241,France,1896,Silver,4
1242,France,1900,Bronze,26
1243,France,1900,Gold,22
1244,France,1900,Silver,27
1245,France,1904,Silver,1
1246,France,1906,Bronze,17
1247,France,1906,Gold,20
1248,France,1906,Silver,8
1249,France,1908,Bronze,20
1250,France,1908,Gold,11
1251,France,1908,Silver,5
1252,France,1912,Bronze,5
1253,France,1912,Gold,7
1254,France,1912,Silver,11
1255,France,1920,Bronze,55
1256,France,1920,Gold,11
1257,France,1920,Silver,68
1258,France,1924,Bronze,23
1259,France,1924,Gold,37
1260,France,1924,Silver,49
1261,France,1928,Bronze,14
1262,France,1928,Gold,8
1263,France,1928,Silver,24
1264,France,1932,Bronze,6
1265,France,1932,Gold,28
1266,France,1932,Silver,8
1267,France,1936,Bronze,19
1268,France,1936,Gold,13
1269,France,1936,Silver,13
1270,France,1948,Bronze,26
1271,France,1948,Gold,28
1272,France,1948,Silver,23
1273,France,1952,Bronze,18
1274,France,1952,Gold,14
1275,France,1952,Silver,9
1276,France,1956,Bronze,13
1277,France,1956,Gold,7
1278,France,1956,Silver,13
1279,France,1960,Bronze,8
1280,France,1960,Gold,1
1281,France,1960,Silver,6
1282,France,1964,Bronze,17
1283,France,1964,Gold,4
1284,France,1964,Silver,17
1285,France,1968,Bronze,12
1286,France,1968,Gold,16
1287,France,1968,Silver,8
1288,France,1972,Bronze,17
1289,France,1972,Gold,2
1290,France,1972,Silver,6
1291,France,1976,Bronze,9
1292,France,1976,Gold,5
1293,France,1976,Silver,7
1294,France,1980,Bronze,7
1295,France,1980,Gold,18
1296,France,1980,Silver,5
1297,France,1984,Bronze,33
1298,France,1984,Gold,20
1299,France,1984,Silver,17
1300,France,1988,Bronze,14
1301,France,1988,Gold,13
1302,France,1988,Silver,4
1303,France,1992,Bronze,42
1304,France,1992,Gold,14
1305,France,1992,Silver,9
1306,France,1994,Bronze,10
1307,France,1994,Silver,1
1308,France,1996,Bronze,20
1309,France,1996,Gold,19
1310,France,1996,Silver,10
1311,France,1998,Bronze,10
1312,France,1998,Gold,2
1313,France,1998,Silver,1
1314,France,2000,Bronze,12
1315,France,2000,Gold,22
1316,France,2000,Silver,30
1317,France,2002,Bronze,5
1318,France,2002,Gold,3
1319,France,2002,Silver,5
1320,France,2004,Bronze,22
1321,France,2004,Gold,21
1322,France,2004,Silver,10
1323,France,2006,Bronze,10
1324,France,2006,Gold,3
1325,France,2006,Silver,2
1326,France,2008,Bronze,28
1327,France,2008,Gold,25
1328,France,2008,Silver,24
1329,France,2010,Bronze,6
1330,France,2010,Gold,2
1331,France,2010,Silver,6
1332,France,2012,Bronze,20
1333,France,2012,Gold,30
1334,France,2012,Silver,28
1335,France,2014,Bronze,10
1336,France,2014,Gold,4
1337,France,2014,Silver,4
1338,France,2016,Bronze,21
1339,France,2016,Gold,20
1340,France,2016,Silver,55
1341,France-1,1900,Bronze,3
1342,France-1,1900,Silver,1
1343,France-1,1924,Bronze,2
1344,France-1,1924,Silver,2
1345,France-1,1992,Bronze,2
1346,France-1,1992,Silver,2
1347,France-1,1996,Gold,2
1348,France-1,1998,Bronze,2
1349,France-1,2000,Bronze,2
1350,France-1,2002,Gold,2
1351,France-1,2012,Silver,2
1352,France-2,1924,Bronze,2
1353,France-2,2012,Bronze,2
1354,France-3,1920,Bronze,2
1355,France-3,1920,Gold,2
1356,France/Great Britain,1900,Silver,2
1357,Frankfurt Club,1900,Silver,15
1358,Frimousse,1900,Bronze,1
1359,Gabon,2012,Silver,1
1360,Gallant,1932,Silver,5
1361,Gallia II,1912,Bronze,7
1362,Galt Football Club,1904,Gold,13
1363,Gem,1964,Gold,2
1364,Gem IV,1956,Bronze,2
1365,Georgia,1996,Bronze,2
1366,Georgia,2000,Bronze,6
1367,Georgia,2004,Gold,2
1368,Georgia,2004,Silver,2
1369,Georgia,2008,Bronze,3
1370,Georgia,2008,Gold,3
1371,Georgia,2012,Bronze,3
1372,Georgia,2012,Gold,1
1373,Georgia,2012,Silver,3
1374,Georgia,2016,Bronze,4
1375,Georgia,2016,Gold,2
1376,Georgia,2016,Silver,1
1377,Germania II,1936,Bronze,6
1378,"Germania Ruder Club, Hamburg-2",1900,Gold,5
1379,Germany,1896,Bronze,2
1380,Germany,1896,Gold,24
1381,Germany,1896,Silver,5
1382,Germany,1900,Gold,1
1383,Germany,1900,Silver,1
1384,Germany,1904,Bronze,6
1385,Germany,1904,Gold,4
1386,Germany,1904,Silver,5
1387,Germany,1906,Bronze,6
1388,Germany,1906,Gold,14
1389,Germany,1906,Silver,10
1390,Germany,1908,Bronze,4
1391,Germany,1908,Gold,4
1392,Germany,1908,Silver,11
1393,Germany,1912,Bronze,14
1394,Germany,1912,Gold,6
1395,Germany,1912,Silver,19
1396,Germany,1928,Bronze,41
1397,Germany,1928,Gold,21
1398,Germany,1928,Silver,15
1399,Germany,1932,Bronze,17
1400,Germany,1932,Gold,10
1401,Germany,1932,Silver,26
1402,Germany,1936,Bronze,55
1403,Germany,1936,Gold,93
1404,Germany,1936,Silver,72
1405,Germany,1952,Bronze,25
1406,Germany,1952,Gold,4
1407,Germany,1952,Silver,16
1408,Germany,1956,Bronze,24
1409,Germany,1956,Gold,10
1410,Germany,1956,Silver,20
1411,Germany,1960,Bronze,20
1412,Germany,1960,Gold,38
1413,Germany,1960,Silver,35
1414,Germany,1964,Bronze,53
1415,Germany,1964,Gold,25
1416,Germany,1964,Silver,43
1417,Germany,1992,Bronze,65
1418,Germany,1992,Gold,93
1419,Germany,1992,Silver,66
1420,Germany,1994,Bronze,6
1421,Germany,1994,Gold,14
1422,Germany,1994,Silver,10
1423,Germany,1996,Bronze,45
1424,Germany,1996,Gold,42
1425,Germany,1996,Silver,35
1426,Germany,1998,Bronze,6
1427,Germany,1998,Gold,16
1428,Germany,1998,Silver,12
1429,Germany,2000,Bronze,62
1430,Germany,2000,Gold,31
1431,Germany,2000,Silver,23
1432,Germany,2002,Bronze,10
1433,Germany,2002,Gold,18
1434,Germany,2002,Silver,21
1435,Germany,2004,Bronze,63
1436,Germany,2004,Gold,41
1437,Germany,2004,Silver,43
1438,Germany,2006,Bronze,6
1439,Germany,2006,Gold,15
1440,Germany,2006,Silver,23
1441,Germany,2008,Bronze,41
1442,Germany,2008,Gold,39
1443,Germany,2008,Silver,16
1444,Germany,2010,Bronze,11
1445,Germany,2010,Gold,13
1446,Germany,2010,Silver,18
1447,Germany,2012,Bronze,22
1448,Germany,2012,Gold,43
1449,Germany,2012,Silver,27
1450,Germany,2014,Bronze,7
1451,Germany,2014,Gold,13
1452,Germany,2014,Silver,12
1453,Germany,2016,Bronze,67
1454,Germany,2016,Gold,47
1455,Germany,2016,Silver,43
1456,Germany-1,1932,Bronze,4
1457,Germany-1,1936,Gold,2
1458,Germany-1,1952,Gold,4
1459,Germany-1,1960,Silver,2
1460,Germany-1,1964,Silver,2
1461,Germany-1,1992,Gold,2
1462,Germany-1,1992,Silver,6
1463,Germany-1,1994,Bronze,6
1464,Germany-1,1996,Bronze,2
1465,Germany-1,1998,Bronze,4
1466,Germany-1,1998,Gold,2
1467,Germany-1,2000,Bronze,2
1468,Germany-1,2002,Gold,2
1469,Germany-1,2002,Silver,2
1470,Germany-1,2004,Silver,2
1471,Germany-1,2006,Gold,8
1472,Germany-1,2006,Silver,2
1473,Germany-1,2010,Bronze,2
1474,Germany-1,2010,Gold,2
1475,Germany-1,2010,Silver,4
1476,Germany-1,2012,Gold,2
1477,Germany-1,2014,Bronze,2
1478,Germany-1,2014,Gold,2
1479,Germany-1,2016,Gold,2
1480,Germany-2,1928,Bronze,5
1481,Germany-2,1992,Bronze,2
1482,Germany-2,1992,Silver,2
1483,Germany-2,1994,Gold,4
1484,Germany-2,1998,Gold,4
1485,Germany-2,2002,Bronze,2
1486,Germany-2,2002,Gold,6
1487,Germany-2,2010,Bronze,2
1488,Germany-2,2010,Silver,2
1489,Ghana,1960,Silver,1
1490,Ghana,1964,Bronze,1
1491,Ghana,1972,Bronze,1
1492,Ghana,1992,Bronze,20
1493,Gitana-2,1900,Bronze,5
1494,Gitana-2,1900,Silver,5
1495,Glider,1964,Silver,2
1496,Great Britain,1896,Bronze,2
1497,Great Britain,1896,Gold,2
1498,Great Britain,1896,Silver,3
1499,Great Britain,1900,Bronze,7
1500,Great Britain,1900,Gold,9
1501,Great Britain,1900,Silver,6
1502,Great Britain,1904,Gold,1
1503,Great Britain,1904,Silver,1
1504,Great Britain,1906,Bronze,8
1505,Great Britain,1906,Gold,9
1506,Great Britain,1906,Silver,14
1507,Great Britain,1908,Bronze,34
1508,Great Britain,1908,Gold,69
1509,Great Britain,1908,Silver,64
1510,Great Britain,1912,Bronze,57
1511,Great Britain,1912,Gold,36
1512,Great Britain,1912,Silver,35
1513,Great Britain,1920,Bronze,15
1514,Great Britain,1920,Gold,46
1515,Great Britain,1920,Silver,40
1516,Great Britain,1924,Bronze,28
1517,Great Britain,1924,Gold,31
1518,Great Britain,1924,Silver,23
1519,Great Britain,1928,Bronze,25
1520,Great Britain,1928,Gold,7
1521,Great Britain,1928,Silver,27
1522,Great Britain,1932,Bronze,14
1523,Great Britain,1932,Gold,9
1524,Great Britain,1932,Silver,10
1525,Great Britain,1936,Bronze,11
1526,Great Britain,1936,Gold,19
1527,Great Britain,1936,Silver,17
1528,Great Britain,1948,Bronze,14
1529,Great Britain,1948,Gold,5
1530,Great Britain,1948,Silver,42
1531,Great Britain,1952,Bronze,26
1532,Great Britain,1952,Gold,4
1533,Great Britain,1952,Silver,2
1534,Great Britain,1956,Bronze,17
1535,Great Britain,1956,Gold,8
1536,Great Britain,1956,Silver,12
1537,Great Britain,1960,Bronze,15
1538,Great Britain,1960,Gold,2
1539,Great Britain,1960,Silver,11
1540,Great Britain,1964,Bronze,5
1541,Great Britain,1964,Gold,4
1542,Great Britain,1964,Silver,17
1543,Great Britain,1968,Bronze,5
1544,Great Britain,1968,Gold,9
1545,Great Britain,1968,Silver,5
1546,Great Britain,1972,Bronze,12
1547,Great Britain,1972,Gold,8
1548,Great Britain,1972,Silver,9
1549,Great Britain,1976,Bronze,11
1550,Great Britain,1976,Gold,7
1551,Great Britain,1976,Silver,15
1552,Great Britain,1980,Bronze,24
1553,Great Britain,1980,Gold,6
1554,Great Britain,1980,Silver,18
1555,Great Britain,1984,Bronze,42
1556,Great Britain,1984,Gold,9
1557,Great Britain,1984,Silver,20
1558,Great Britain,1988,Bronze,15
1559,Great Britain,1988,Gold,22
1560,Great Britain,1988,Silver,17
1561,Great Britain,1992,Bronze,39
1562,Great Britain,1992,Gold,8
1563,Great Britain,1992,Silver,3
1564,Great Britain,1994,Bronze,3
1565,Great Britain,1996,Bronze,9
1566,Great Britain,1996,Gold,2
1567,Great Britain,1996,Silver,15
1568,Great Britain,1998,Bronze,4
1569,Great Britain,2000,Bronze,10
1570,Great Britain,2000,Gold,22
1571,Great Britain,2000,Silver,20
1572,Great Britain,2002,Bronze,1
1573,Great Britain,2002,Gold,5
1574,Great Britain,2004,Bronze,15
1575,Great Britain,2004,Gold,17
1576,Great Britain,2004,Silver,23
1577,Great Britain,2006,Silver,1
1578,Great Britain,2008,Bronze,25
1579,Great Britain,2008,Gold,31
1580,Great Britain,2008,Silver,25
1581,Great Britain,2010,Gold,1
1582,Great Britain,2012,Bronze,48
1583,Great Britain,2012,Gold,46
1584,Great Britain,2012,Silver,28
1585,Great Britain,2014,Bronze,5
1586,Great Britain,2014,Gold,1
1587,Great Britain,2014,Silver,4
1588,Great Britain,2016,Bronze,26
1589,Great Britain,2016,Gold,64
1590,Great Britain,2016,Silver,55
1591,Great Britain-1,1900,Gold,2
1592,Great Britain-1,1908,Gold,12
1593,Great Britain-1,1908,Silver,2
1594,Great Britain-1,1912,Silver,2
1595,Great Britain-1,1920,Bronze,2
1596,Great Britain-1,1924,Bronze,2
1597,Great Britain-1,1924,Silver,4
1598,Great Britain-1,1964,Gold,2
1599,Great Britain-1,1984,Gold,2
1600,Great Britain-1,2004,Silver,2
1601,Great Britain-1,2012,Gold,2
1602,Great Britain-2,1900,Bronze,2
1603,Great Britain-2,1908,Bronze,8
1604,Great Britain-2,1908,Silver,6
1605,Great Britain-2,1912,Bronze,2
1606,Great Britain-2,1912,Gold,2
1607,Great Britain-2,1920,Gold,2
1608,Great Britain-2,1924,Silver,2
1609,Great Britain-2,2000,Bronze,2
1610,Great Britain-2,2012,Silver,2
1611,Great Britain-3,1908,Bronze,4
1612,Great Britain-3,1920,Silver,2
1613,Great Britain/Germany,1896,Gold,2
1614,Greece,1896,Bronze,18
1615,Greece,1896,Gold,10
1616,Greece,1896,Silver,16
1617,Greece,1904,Bronze,1
1618,Greece,1904,Gold,1
1619,Greece,1906,Bronze,10
1620,Greece,1906,Gold,7
1621,Greece,1906,Silver,11
1622,Greece,1908,Bronze,1
1623,Greece,1908,Silver,3
1624,Greece,1912,Bronze,1
1625,Greece,1912,Gold,1
1626,Greece,1920,Silver,5
1627,Greece,1924,Gold,1
1628,Greece,1956,Bronze,1
1629,Greece,1968,Bronze,1
1630,Greece,1972,Silver,2
1631,Greece,1980,Bronze,4
1632,Greece,1980,Gold,1
1633,Greece,1984,Bronze,1
1634,Greece,1984,Silver,1
1635,Greece,1988,Bronze,1
1636,Greece,1992,Gold,2
1637,Greece,1996,Gold,4
1638,Greece,1996,Silver,4
1639,Greece,2000,Bronze,8
1640,Greece,2000,Gold,4
1641,Greece,2000,Silver,6
1642,Greece,2004,Bronze,5
1643,Greece,2004,Gold,8
1644,Greece,2004,Silver,18
1645,Greece,2008,Bronze,4
1646,Greece,2008,Silver,3
1647,Greece,2012,Bronze,3
1648,Greece,2016,Bronze,3
1649,Greece,2016,Gold,3
