,Name,Sex,Team,Sport,Medal,Medal_Count
309,Alena Reichov (-Zmostn),F,Czechoslovakia,Gymnastics,Bronze,1
310,Alenka Dovan,F,Slovenia,Alpine Skiing,Bronze,1
311,Alessandra Sensini,F,Italy,Sailing,Bronze,2
312,Alessandra dos Santos de Oliveira,F,Brazil,Basketball,Bronze,1
313,"Alessandro ""Sandro"" Bellucci",M,Italy,Athletics,Bronze,1
314,Alessandro Alvisi,M,Italy,Equestrianism,Bronze,2
315,Alessandro Bovo,M,Italy,Water Polo,Bronze,1
316,Alessandro Calcaterra,M,Italy,Water Polo,Bronze,1
317,Alessandro Ciceri,M,Italy,Shooting,Bronze,1
318,Alessandro Corona,M,Italy,Rowing,Bronze,1
319,Alessandro D'Ottavio,M,Italy,Boxing,Bronze,1
320,Alessandro Fei,M,Italy,Volleyball,Bronze,2
321,Alessandro Lambruschini,M,Italy,Athletics,Bronze,1
322,Alessandro Nora,M,Italy,Water Polo,Bronze,1
323,Alessandro Pittin,M,Italy,Nordic Combined,Bronze,1
324,Alessandro Velotto,M,Italy,Water Polo,Bronze,1
325,Alessio Sartori,M,Italy,Rowing,Bronze,1
326,Alesya Aleksandrovna Babushkina,F,Belarus,Rhythmic Gymnastics,Bronze,1
327,Aletta van Manen,F,Netherlands,Hockey,Bronze,1
328,Alevtina Pavlovna Kolchina (Leontyeva-),F,Soviet Union,Cross Country Skiing,Bronze,3
329,Alex Corretja Verdegay,M,Spain,Tennis,Bronze,1
330,Alex Deibold,M,United States,Snowboarding,Bronze,1
331,"Alex Gerhard ""Lex"" Mullink",M,Netherlands,Rowing,Bronze,1
332,Alex Izykowski,M,United States,Short Track Speed Skating,Bronze,1
333,Alex Sandro da Silva,M,Brazil,Football,Bronze,1
334,Alex Walter Diggelmann,M,Switzerland,Art Competitions,Bronze,1
335,"Alexander ""Alec"" McLean",M,New Zealand,Rowing,Bronze,1
336,"Alexander ""Alex"" Nyarko",M,Ghana,Football,Bronze,1
337,Alexander Baird Burt,M,Scotland-3,Hockey,Bronze,1
338,"Alexander Brassey Jonathan ""Alec"" Scott",M,Great Britain,Equestrianism,Bronze,1
339,"Alexander Brengle ""Alex"" Hurd",M,Canada,Speed Skating,Bronze,1
340,Alexander Brouwer,M,Netherlands-1,Beach Volleyball,Bronze,1
341,Alexander Chen Massialas,M,United States,Fencing,Bronze,1
342,Alexander Elliott Rogers,M,Great Britain,Shooting,Bronze,1
343,Alexander Elsdon Maunder,M,Great Britain,Shooting,Bronze,1
344,"Alexander Guthrie ""Alastair"" Denniston",M,Scotland-3,Hockey,Bronze,1
345,"Alexander H. ""Alex"" Homberger",M,Switzerland,Rowing,Bronze,1
346,"Alexander Hendrik Willem ""Lex"" van Blijenburgh",M,Netherlands,Fencing,Bronze,1
347,Alexander Kristoff,M,Norway,Cycling,Bronze,1
348,Alexander Lderitz,M,Germany,Swimming,Bronze,1
349,Alexander Mah Owens Drysdale,M,New Zealand,Rowing,Bronze,1
350,"Alexander Matthew ""Alex"" Partridge",M,Great Britain,Rowing,Bronze,1
351,"Alexander Michael ""Alex"" Naddour",M,United States,Gymnastics,Bronze,1
352,Alexander Michael Hirst Aikman,M,Australia,Rowing,Bronze,1
353,Alexander Munro,M,K Division Metropolitan Police Team-3,Tug-Of-War,Bronze,1
354,Alexander Resch,M,Germany-2,Luge,Bronze,1
355,"Alexander Sheldon ""Alex"" Wilson",M,Canada,Athletics,Bronze,3
356,"Alexander Stuart ""Jock"" Sturrock",M,Buraddoo,Sailing,Bronze,1
357,Alexander Tchigir,M,Unified Team,Water Polo,Bronze,1
358,Alexander Viggo Jensen,M,Denmark,Shooting,Bronze,1
359,"Alexander Vladimirovich ""Sasha"" Artemev",M,United States,Gymnastics,Bronze,1
360,Alexander Weber (-Achten),M,Germany,Fencing,Bronze,1
361,"Alexandra Angela ""Sandie"" Richards",F,Jamaica,Athletics,Bronze,1
362,Alexandra Barr (Sandor-),F,Canada,Canoeing,Bronze,1
363,Alexandra Georgiana Maria Eremia,F,Romania,Gymnastics,Bronze,1
364,Alexandra Ledermann,F,France,Equestrianism,Bronze,1
365,Alexandra Marinescu,F,Romania,Gymnastics,Bronze,1
366,"Alexandra Mary L. ""Alex"" Danson",F,Great Britain,Hockey,Bronze,1
367,Alexandra Meissnitzer,F,Austria,Alpine Skiing,Bronze,2
368,"Alexandra Rose ""Aly"" Raisman",F,United States,Gymnastics,Bronze,1
369,Alexandra Tsiavou,F,Greece,Rowing,Bronze,1
370,"Alexandre ""Alex"" Jany",M,France,Swimming,Bronze,2
371,"Alexandre ""Alexandre Pato"" Rodrigues da Silva",M,Brazil,Football,Bronze,1
372,"Alexandre ""Amaral"" da Silva Mariano",M,Brazil,Football,Bronze,1
373,Alexandre Auguste Lippmann,M,France,Fencing,Bronze,1
374,Alexandre Charles Georges Henri Arthus,M,Guyoni,Sailing,Bronze,1
375,Alexandre Franois tienne Jean Bouin,M,France,Athletics,Bronze,1
